group_label,group_size,bpppc_min,bpppc_max,bpppc_avg,bpppc_std,bpppc_median
CCSDS 123.0-B-2 Hybrid $a_z=1$,420,1.3497662353515625,2.2444302368164064,1.6787538052513484,0.19437343060995677,1.5964016723632812
CCSDS 123.0-B-2 Hybrid $a_z=2$,420,0.8001657104492188,1.6076907348632812,1.1529772433326357,0.16178951142089368,1.1190940856933596
CCSDS 123.0-B-2 Hybrid $a_z=3$,420,0.5981341552734375,1.22431640625,0.8454725196475074,0.13541049580995382,0.8246142578125
CCSDS 123.0-B-2 Hybrid $a_z=4$,420,0.5152444458007812,0.984273681640625,0.7635973285493397,0.11120623042886837,0.7673390197753907
CCSDS 123.0-B-2 Hybrid $a_z=5$,420,0.4733523559570312,0.949140625,0.6901307714553105,0.07698453172760028,0.6991371154785155
JPEG-LS PAE 1,420,1.5313284301757812,2.323189697265625,1.8068658796037944,0.17531134409839536,1.7344580078125
JPEG-LS PAE 2,420,0.7566348266601562,1.7173809814453125,1.2609143473307292,0.16864260806832235,1.2104513549804687
JPEG-LS PAE 3,420,0.2825131225585937,1.41479248046875,0.848500221615746,0.232670037290858,0.8173219299316405
JPEG-LS PAE 4,420,0.1462399291992187,1.195749206542969,0.599359864007859,0.2507467320177958,0.5914862060546875
JPEG-LS PAE 5,420,0.0960446166992187,1.01936767578125,0.45302017647879467,0.23593149874623423,0.4531941223144531
Kakadu lossy R = 1,420,0.9802349853515624,0.999990234375,0.9907435804094586,0.004857126088440262,0.9909030151367189
Kakadu lossy R = 2,420,1.9610772705078128,1.9999786376953128,1.9883777647472562,0.009096549828920454,1.9899830627441406
Kakadu lossy R = 3,420,2.940172729492188,2.9999822998046874,2.9741883159819102,0.015398149115468452,2.9778155517578124
Kakadu lossy R = 4,420,3.920186462402344,3.999774475097656,3.960807875860305,0.020257568421775986,3.9653190612792972
Kakadu lossy R = 5,420,4.900646362304688,4.999666748046875,4.963370294480097,0.02709122585445287,4.9713671875
V2F Qstep=2 pred=FGIJ,840,2.1420159912109376,4.134043579101562,2.7192885880243214,0.4576056092231386,2.542149658203125
V2F Qstep=2 pred=JPEG-LS,840,2.1902984619140624,3.766563720703125,2.6575586061023526,0.3617014574970893,2.5438656616210937
V2F Qstep=2 pred=left,840,2.167864379882813,4.022092895507813,2.706933657691592,0.4270969460873351,2.546372985839844
V2F Qstep=2 pred=two left,840,2.063701171875,4.353626708984375,2.744082085745675,0.5363767403241217,2.5684600830078126
V2F Qstep=3 pred=FGIJ,840,1.8771051025390624,3.6610498046875,2.3838999495733355,0.4048308602139337,2.226643371582031
V2F Qstep=3 pred=JPEG-LS,840,1.7616143798828126,3.1474395751953126,2.1678001549130395,0.3197580518753615,2.064538879394531
V2F Qstep=3 pred=left,840,1.710225830078125,3.3797833251953127,2.1938106776646205,0.3873455198818333,2.0414523315429687
V2F Qstep=3 pred=two left,840,1.6483770751953124,3.754327392578125,2.2456732766287666,0.4909708170651773,2.0883273315429687
V2F Qstep=4 pred=FGIJ,840,1.7088800048828126,3.3807952880859373,2.182654057094029,0.3587902834639063,2.0426269531249996
V2F Qstep=4 pred=JPEG-LS,840,1.50806396484375,2.7026165771484374,1.8636228485107424,0.27297657684762344,1.775403747558594
V2F Qstep=4 pred=left,840,1.440723876953125,2.919193725585937,1.8627774527413505,0.3447583325322032,1.7270965576171875
V2F Qstep=4 pred=two left,840,1.4016485595703123,3.3779034423828125,1.928350533621652,0.43920819730465605,1.783996276855469
V2F Qstep=5 pred=FGIJ,840,1.5791229248046874,3.174771728515625,2.047402335757301,0.3427630284252197,1.9130020141601562
V2F Qstep=5 pred=JPEG-LS,840,1.3389300537109374,2.3788092041015627,1.6454398440406437,0.2371248190756701,1.5644638061523437
V2F Qstep=5 pred=left,840,1.28362548828125,2.639896240234375,1.6415031324114118,0.31238150613297383,1.5114974975585938
V2F Qstep=5 pred=two left,840,1.25060791015625,3.112662963867188,1.7100343715122768,0.3973259406380081,1.5756951904296876
V2F Qstep=6 pred=FGIJ,840,1.4473101806640625,2.9279803466796874,1.8909442908877419,0.3194334700371781,1.7721807861328123
V2F Qstep=6 pred=JPEG-LS,840,1.2239190673828124,2.176038818359375,1.4997285948253813,0.21644879779836673,1.42384765625
V2F Qstep=6 pred=left,840,1.181124267578125,2.4413800048828125,1.4935880860828217,0.2834369364670721,1.3803945922851564
V2F Qstep=6 pred=two left,840,1.160435791015625,2.8468475341796875,1.5397929353259856,0.35241846412161437,1.4190347290039065
V2F Qstep=7 pred=FGIJ,840,1.2583538818359374,2.734998779296875,1.7782030632382348,0.3075565671419986,1.6700808715820314
V2F Qstep=7 pred=JPEG-LS,840,1.0550531005859376,1.98381103515625,1.3847976648239864,0.1931666158619637,1.3229345703125
V2F Qstep=7 pred=left,840,0.98282958984375,2.21529541015625,1.3554568866548085,0.24539432534809502,1.2654876708984375
V2F Qstep=7 pred=two left,840,0.9670452880859376,2.663452758789062,1.4170308220272974,0.3230051328003085,1.3067080688476564
V2F Qstep=8 pred=FGIJ,840,1.250953369140625,2.568571166992188,1.6933856440952846,0.29137209575406947,1.5896817016601563
V2F Qstep=8 pred=JPEG-LS,840,1.013453369140625,1.803009033203125,1.2887645082019623,0.16721601900390956,1.2365951538085938
V2F Qstep=8 pred=left,840,0.9498358154296876,2.0692901611328125,1.2564586886451359,0.21739053119716298,1.1810931396484374
V2F Qstep=8 pred=two left,840,0.9286676025390626,2.467259521484375,1.3111614321754095,0.282373973828769,1.2086798095703126
