group_label,group_size,compression_ratio_dr_min,compression_ratio_dr_max,compression_ratio_dr_avg,compression_ratio_dr_std,compression_ratio_dr_median,bpppc_min,bpppc_max,bpppc_avg,bpppc_std,bpppc_median,compression_efficiency_1byte_entropy_min,compression_efficiency_1byte_entropy_max,compression_efficiency_1byte_entropy_avg,compression_efficiency_1byte_entropy_std,compression_efficiency_1byte_entropy_median,pae_min,pae_max,pae_avg,pae_std,pae_median,psnr_bps_min,psnr_bps_max,psnr_bps_avg,psnr_bps_std,psnr_bps_median,psnr_dr_min,psnr_dr_max,psnr_dr_avg,psnr_dr_std,psnr_dr_median
CCSDS 123.0-B-2 Hybrid $a_z=1$,420,3.564378998630644,5.926952231040441,4.818875608907849,0.46481497024755913,5.011270299704782,1.3497662353515625,2.2444302368164064,1.6787538052513484,0.19437343060995677,1.5964016723632812,2.584606102799448,4.305177329517224,3.6533830257051045,0.4126988707784308,3.7333795525430453,1.0,1.0,1.0,0.0,1.0,49.88912771127331,49.92000770259763,49.90052908619748,0.0044541558539525836,49.900777118874245,49.88912771127331,49.92000770259763,49.90052908619748,0.0044541558539525836,49.900777118874245
CCSDS 123.0-B-2 Hybrid $a_z=2$,420,4.976081423197555,9.997929048357674,7.056942199971612,0.8575745874725481,7.148639358964834,0.8001657104492188,1.6076907348632812,1.1529772433326357,0.16178951142089368,1.1190940856933596,3.702672545898755,7.046660839022849,5.338989121834307,0.626298565216887,5.441323131531434,2.0,2.0,2.0,0.0,2.0,45.14386823355032,45.65349040375726,45.287002400821684,0.09841627214586937,45.274879336356406,45.14386823355032,45.65349040375726,45.287002400821684,0.09841627214586937,45.274879336356406
CCSDS 123.0-B-2 Hybrid $a_z=3$,420,6.534258594560102,13.37492589157159,9.67636652435341,1.3641495325401656,9.701506250302131,0.5981341552734375,1.22431640625,0.8454725196475074,0.13541049580995382,0.8246142578125,5.033010270217072,9.69516232069248,7.333399686027473,1.0970854630557083,7.464111178554197,3.0,3.0,3.0,0.0,3.0,42.16779223674895,43.1055027187137,42.610616050695775,0.207192899270892,42.587400110156366,42.16779223674895,43.1055027187137,42.610616050695775,0.207192899270892,42.587400110156366
CCSDS 123.0-B-2 Hybrid $a_z=4$,420,8.127820695830549,15.52661084500694,10.71005856779143,1.6215273123700622,10.425643705020741,0.5152444458007812,0.984273681640625,0.7635973285493397,0.11120623042886837,0.7673390197753907,5.593253278778209,11.662073876669458,8.094841972765778,1.1540100701223408,7.967483851559285,4.0,4.0,4.0,0.0,4.0,39.63477195135176,41.26903377177885,40.39857605149199,0.3487030446315662,40.39437647533558,39.63477195135176,41.26903377177885,40.39857605149199,0.3487030446315662,40.39437647533558
CCSDS 123.0-B-2 Hybrid $a_z=5$,420,8.42867725738744,16.900729233354028,11.743354693595608,1.3746207786913207,11.442693850211263,0.4733523559570312,0.949140625,0.6901307714553105,0.07698453172760028,0.6991371154785155,5.836961647185349,13.52878042120452,8.882581050916189,0.9851615038020166,8.833538651508952,5.0,5.0,5.0,0.0,5.0,37.8304123757313,39.68457616466071,38.5840898478244,0.3426807433327655,38.561445025986316,37.8304123757313,39.68457616466071,38.5840898478244,0.3426807433327655,38.561445025986316
JPEG-LS PAE 1,420,3.4435414419304347,5.224222212789244,4.462841387950924,0.36549147177692526,4.612391866400149,1.5313284301757812,2.323189697265625,1.8068658796037944,0.17531134409839536,1.7344580078125,2.4634924481227727,4.01624126890771,3.3833235350975124,0.3400631402530359,3.4400694028505754,1.0,1.0,1.0,0.0,1.0,49.8929864127044,49.932235970583385,49.90849437668989,0.006202971759297976,49.909527178890045,49.8929864127044,49.932235970583385,49.90849437668989,0.006202971759297976,49.909527178890045
JPEG-LS PAE 2,420,4.658255847964128,10.573132134708375,6.443052619318583,0.7550500788333688,6.609121472742585,0.7566348266601562,1.7173809814453125,1.2609143473307292,0.16864260806832235,1.2104513549804687,3.3099781961732604,7.499995447305423,4.888071530533832,0.6634686916630643,4.860630421705141,2.0,2.0,2.0,0.0,2.0,45.16042706301544,45.9756862820926,45.401007719888554,0.10414887210496122,45.42892865901641,45.16042706301544,45.9756862820926,45.401007719888554,0.10414887210496122,45.42892865901641
JPEG-LS PAE 3,420,5.654539524658369,28.31726869020318,10.081011106628564,2.6229923058889355,9.788065479246853,0.2825131225585937,1.41479248046875,0.848500221615746,0.232670037290858,0.8173219299316405,4.044947673460339,20.08670501331117,7.675126145672378,2.1477501913669346,7.102856036992202,3.0,3.0,3.0,0.0,3.0,42.29639524998247,44.55370745671477,43.03306872400908,0.3450282177253287,43.0559371406944,42.29639524998247,44.55370745671477,43.03306872400908,0.3450282177253287,43.0559371406944
JPEG-LS PAE 4,420,6.690366137167513,54.70462167074639,15.71444321253758,6.469291863520178,13.525268272798428,0.1462399291992187,1.195749206542969,0.599359864007859,0.2507467320177958,0.5914862060546875,4.950899101670324,39.73283185126449,12.017484086389468,5.212667647767453,9.821447599852222,4.0,4.0,4.0,0.0,4.0,40.28371379868224,43.278676014450056,41.46422443911487,0.5957246142762902,41.39935800842325,40.28371379868224,43.278676014450056,41.46422443911487,0.5957246142762902,41.39935800842325
JPEG-LS PAE 5,420,7.848002433340598,83.29462155128861,23.04386019883698,12.045754641399968,17.65265556040375,0.0960446166992187,1.01936767578125,0.45302017647879467,0.23593149874623423,0.4531941223144531,5.93207806962554,60.49820090396224,17.686309531050885,9.682087716431377,13.04508652101876,5.0,5.0,5.0,0.0,5.0,38.76709436540565,41.98164487232756,40.20588079336621,0.763857964550527,40.06167216252929,38.76709436540565,41.98164487232756,40.20588079336621,0.763857964550527,40.06167216252929
Kakadu lossy R = 1,420,8.000078125762947,8.161308379674686,8.074937010753887,0.03962568866588386,8.073443999534506,0.9802349853515624,0.999990234375,0.9907435804094586,0.004857126088440262,0.9909030151367189,5.304211638864476,6.9650349449642,6.120345766448613,0.33688460562472006,6.135775271552468,5.0,15.0,9.021428571428572,0.904519470333697,9.0,42.59160865173595,48.2822936448769,46.04981548952807,1.242748707342453,46.548558171238824,42.59160865173595,48.2822936448769,46.04981548952807,1.242748707342453,46.548558171238824
Kakadu lossy R = 2,420,4.000042725065728,4.07939050659051,4.023464660448615,0.018476319868862324,4.020134719171556,1.9610772705078128,1.9999786376953128,1.9883777647472562,0.009096549828920454,1.9899830627441406,2.6155008186251587,3.479643114180728,3.049470559335561,0.16639626919887757,3.0523534153932967,4.0,9.0,4.942857142857143,0.9556122023152352,5.0,47.13578822726426,52.26873379984676,49.948760106693044,0.9596072051750855,50.32918862669138,47.13578822726426,52.26873379984676,49.948760106693044,0.9596072051750855,50.32918862669138
Kakadu lossy R = 3,420,2.66668240026644,2.720928576662814,2.689881604668021,0.01395979453263771,2.686533084869259,2.940172729492188,2.9999822998046874,2.9741883159819102,0.015398149115468452,2.9778155517578124,1.7400727934638194,2.3167314088384217,2.038699990460217,0.1109601375258385,2.037347135023432,2.0,4.0,2.316666666666667,0.5190484531700925,2.0,51.76770077854136,57.61623700826214,54.85563757802153,1.1356458823699933,55.244511256056015,51.76770077854136,57.61623700826214,54.85563757802153,1.1356458823699933,55.244511256056015
Kakadu lossy R = 4,420,2.0001127688092155,2.040719255761496,2.0198427552754676,0.01034651262105486,2.0174921303345865,3.920186462402344,3.999774475097656,3.960807875860305,0.020257568421775986,3.9653190612792972,1.3024224162924098,1.7438507372651864,1.5308667124085078,0.08322581597854636,1.5341579701234462,1.0,2.0,1.1333333333333333,0.3403400424148804,1.0,57.18963497725116,67.91937136334874,62.95989023761938,2.310454945111907,63.635496266221,57.18963497725116,67.91937136334874,62.95989023761938,2.310454945111907,63.635496266221
Kakadu lossy R = 5,420,1.6001066477331132,1.632437725263192,1.6118561012630819,0.008831821904326083,1.609215271878123,4.900646362304688,4.999666748046875,4.963370294480097,0.02709122585445287,4.9713671875,1.0492645588015366,1.390642065598351,1.2215887063625366,0.0653804613777145,1.224411441480926,1.0,1.0,1.0,0.0,1.0,66.56779087756188,79.02303777729313,74.50740896799263,3.2401811074051925,75.12728618664318,66.56779087756188,79.02303777729313,74.50740896799263,3.2401811074051925,75.12728618664318
V2F Qstep=2 pred=FGIJ,4200,1.9351513468415376,3.9473953671590873,3.144048947345797,0.40725869725381053,3.2623855611467407,2.02665283203125,4.134043579101562,2.59827787882487,0.4200920781569155,2.452193298339844,1.4914408288692385,2.950852045542207,2.3852303467648017,0.3532188213643835,2.4194995638439156,1.0,245.0,58.975,58.70576093529613,41.5,37.36141123474052,51.163585114877954,45.83022625623369,5.390633368900924,46.94291750510196,37.36141123474052,51.163585114877954,45.83022625623369,5.390633368900924,46.94291750510196
V2F Qstep=2 pred=JPEG-LS,4200,2.1239518545850053,3.7825986954028576,3.1500202359663465,0.32968628785880855,3.2431707518993407,2.114948120117188,3.766563720703125,2.5741142496744795,0.33146163986289456,2.4667218017578127,1.5354150293480824,2.972737484741799,2.387904453651658,0.28382415923877985,2.4657110994458264,1.0,245.0,58.975,58.70576093529613,41.5,37.36141123474052,51.163585114877954,45.83022625623369,5.390633368900924,46.94291750510196,37.36141123474052,51.163585114877954,45.83022625623369,5.390633368900924,46.94291750510196
V2F Qstep=2 pred=left,4200,1.9890142291181352,3.818031775956292,3.107912397355344,0.37020731433046167,3.2229925469707634,2.0953204345703127,4.022092895507813,2.6204125104631695,0.3922954621144593,2.4821652221679686,1.5164369998483216,2.85729097528128,2.3568664808772946,0.31940270276720095,2.4065617346138755,1.0,245.0,58.975,58.70576093529613,41.5,37.36141123474052,51.163585114877954,45.83022625623369,5.390633368900924,46.94291750510196,37.36141123474052,51.163585114877954,45.83022625623369,5.390633368900924,46.94291750510196
V2F Qstep=2 pred=two left,4200,1.837548447479609,4.030060651379706,3.1148654215745264,0.45934124984072267,3.2292509045090556,1.985081787109375,4.353626708984375,2.6398049932570684,0.4922657287244998,2.477354736328125,1.3997598013707608,2.9893866405115124,2.3645651951924864,0.3979889933410019,2.370007858201446,1.0,245.0,58.975,58.70576093529613,41.5,37.36141123474052,51.163585114877954,45.83022625623369,5.390633368900924,46.94291750510196,37.36141123474052,51.163585114877954,45.83022625623369,5.390633368900924,46.94291750510196
V2F Qstep=3 pred=FGIJ,4200,2.1851655745729097,4.604821234341668,3.6603390027864746,0.48097509589180854,3.801185405376732,1.7373095703125,3.6610498046875,2.2329779679071335,0.3654282081682089,2.1046066284179688,1.7001051462440626,3.4478920593843627,2.7769243918858013,0.41613501796220154,2.8230234113626747,1.0,245.0,58.975,58.70576093529613,41.5,37.304584898875525,49.918342660053625,45.14597187062618,4.832591327719061,46.227889469725554,37.304584898875525,49.918342660053625,45.14597187062618,4.832591327719061,46.227889469725554
V2F Qstep=3 pred=JPEG-LS,4200,2.5417485574774106,4.744394102663691,3.9141806482708383,0.4326875963054244,4.039998053001199,1.6862005615234374,3.1474395751953126,2.0751935590471535,0.2858750060457263,1.980198974609375,1.852612316431799,3.698646825654928,2.967268718751328,0.36877860026134374,3.0632418573647344,1.0,245.0,58.975,58.70576093529613,41.5,37.304584898875525,49.918342660053625,45.14597187062618,4.832591327719061,46.227889469725554,37.304584898875525,49.918342660053625,45.14597187062618,4.832591327719061,46.227889469725554
V2F Qstep=3 pred=left,4200,2.3670156427964777,4.90321837300327,3.8989375905918777,0.5110925781397192,4.067853635328939,1.6315814208984376,3.3797833251953127,2.097767163085938,0.35404608480168764,1.966639099121094,1.810268027127802,3.5928832359079887,2.9569538193787386,0.4339950467005521,3.029878881847033,1.0,245.0,58.975,58.70576093529613,41.5,37.304584898875525,49.918342660053625,45.14597187062618,4.832591327719061,46.227889469725554,37.304584898875525,49.918342660053625,45.14597187062618,4.832591327719061,46.227889469725554
V2F Qstep=3 pred=two left,4200,2.130874365356384,5.097509231729537,3.8825027271509502,0.6192540658220261,4.036253370705352,1.5693939208984375,3.754327392578125,2.129231614321754,0.4389401297050197,1.9820361328125,1.6455606481844784,3.7602156293982576,2.947623907363198,0.5301507703811845,2.966328307287985,1.0,245.0,58.975,58.70576093529613,41.5,37.304584898875525,49.918342660053625,45.14597187062618,4.832591327719061,46.227889469725554,37.304584898875525,49.918342660053625,45.14597187062618,4.832591327719061,46.227889469725554
V2F Qstep=4 pred=FGIJ,4200,2.366307131399624,5.151802317194777,4.060662274300899,0.5253985220991629,4.205408979035482,1.5528546142578126,3.3807952880859373,2.0112228457496277,0.32204936512461535,1.9023120117187504,1.8789314511133293,3.800975113440896,3.080187326082115,0.45308500412653746,3.131836364405126,2.0,245.0,59.475,58.21191991054195,42.0,37.03099740803004,46.4289192713577,43.107819468737844,3.3638926464970935,44.02594226037763,37.03099740803004,46.4289192713577,43.107819468737844,3.3638926464970935,44.02594226037763
V2F Qstep=4 pred=JPEG-LS,4200,2.960094327712921,5.590032178339222,4.5901863398449585,0.5069893161676627,4.737960308314449,1.4311187744140623,2.7026165771484374,1.7694829479399181,0.24320529563300364,1.6884902954101562,2.166487102953978,4.332630445014974,3.4796428469945755,0.43178206514747963,3.577284700327447,2.0,245.0,59.475,58.21191991054195,42.0,37.03099740803004,46.4289192713577,43.107819468737844,3.3638926464970935,44.02594226037763,37.03099740803004,46.4289192713577,43.107819468737844,3.3638926464970935,44.02594226037763
V2F Qstep=4 pred=left,4200,2.740482733256851,5.8516976450256415,4.625480543307139,0.6245575449363755,4.837275424048544,1.3671246337890626,2.919193725585937,1.7710600129627045,0.3109261201341664,1.6538235473632812,2.1041325641183275,4.2748952622813405,3.507855424082335,0.5270221026328644,3.601549246646714,2.0,245.0,59.475,58.21191991054195,42.0,37.03099740803004,46.4289192713577,43.107819468737844,3.3638926464970935,44.02594226037763,37.03099740803004,46.4289192713577,43.107819468737844,3.3638926464970935,44.02594226037763
V2F Qstep=4 pred=two left,4200,2.368332942742942,6.064408429616552,4.5823493828007225,0.7518356400787782,4.766946187403086,1.31917236328125,3.3779034423828125,1.8080349631173274,0.3870445092157681,1.6782232666015626,1.892530767906108,4.462859155563048,3.47870066162079,0.6391320766070004,3.5129602293832183,2.0,245.0,59.475,58.21191991054195,42.0,37.03099740803004,46.4289192713577,43.107819468737844,3.3638926464970935,44.02594226037763,37.03099740803004,46.4289192713577,43.107819468737844,3.3638926464970935,44.02594226037763
V2F Qstep=5 pred=FGIJ,4200,2.5198662090078603,5.702593428739118,4.418895698113336,0.5922404713684316,4.5680063906486765,1.4028704833984376,3.174771728515625,1.8509065391903832,0.3069131050460629,1.7513110351562502,1.991274103234831,4.166471254418855,3.3523579545491757,0.5095923372125937,3.4148303689363964,2.0,245.0,59.475,58.21191991054195,42.0,36.874259367028046,45.20491335552335,42.34059666311699,2.9008222757416307,43.17075273740025,36.874259367028046,45.20491335552335,42.34059666311699,2.9008222757416307,43.17075273740025
V2F Qstep=5 pred=JPEG-LS,4200,3.3630271760367894,6.32003672286963,5.211892367516806,0.5711116832368291,5.390630720374952,1.2658154296875,2.3788092041015627,1.5580109872000558,0.2121894187684368,1.484056396484375,2.4609521137611496,4.903260821496887,3.9512076576767226,0.4895898714945805,4.064578468267227,2.0,245.0,59.475,58.21191991054195,42.0,36.874259367028046,45.20491335552335,42.34059666311699,2.9008222757416307,43.17075273740025,36.874259367028046,45.20491335552335,42.34059666311699,2.9008222757416307,43.17075273740025
V2F Qstep=5 pred=left,4200,3.0304221348069897,6.63709465070588,5.309753645953538,0.728669484580296,5.557220865852944,1.2053466796875,2.639896240234375,1.544209484136672,0.27695631469096293,1.4395684814453125,2.3637230108321083,4.916019354085457,4.02702690662791,0.6149377305562295,4.138761881298425,2.0,245.0,59.475,58.21191991054195,42.0,36.874259367028046,45.20491335552335,42.34059666311699,2.9008222757416307,43.17075273740025,36.874259367028046,45.20491335552335,42.34059666311699,2.9008222757416307,43.17075273740025
V2F Qstep=5 pred=two left,4200,2.5701465571013062,6.886927280369903,5.226819413621051,0.863734406564831,5.459252043175819,1.16162109375,3.112662963867188,1.5863884383428661,0.34520060096014743,1.4654022216796876,2.1195642552105545,5.103451382745315,3.9675572348574333,0.7313509402947355,4.019739548563738,2.0,245.0,59.475,58.21191991054195,42.0,36.874259367028046,45.20491335552335,42.34059666311699,2.9008222757416307,43.17075273740025,36.874259367028046,45.20491335552335,42.34059666311699,2.9008222757416307,43.17075273740025
V2F Qstep=6 pred=FGIJ,4200,2.732258776624629,6.253721544498221,4.797035915934073,0.6553744735077515,4.955693596680635,1.27923828125,2.9279803466796874,1.7063754834856306,0.28778287065048647,1.6143048095703123,2.1532892213268564,4.589684501868044,3.6396346997151023,0.5640791237958726,3.701014371817946,3.0,245.0,59.975,57.71818596791249,42.5,36.53528949039879,43.22571336929397,40.999796412858394,2.1872981532155187,41.66123012549998,36.53528949039879,43.22571336929397,40.999796412858394,2.1872981532155187,41.66123012549998
V2F Qstep=6 pred=JPEG-LS,4200,3.6764050036715807,6.961557725022932,5.755192288537601,0.6299359672415428,5.955049084054357,1.1491680908203126,2.176038818359375,1.4107857317243304,0.1911310075211296,1.3433978271484375,2.7024770319192424,5.4157528037796325,4.363372628109446,0.5428467509918024,4.472604940676984,3.0,245.0,59.975,57.71818596791249,42.5,36.53528949039879,43.22571336929397,40.999796412858394,2.1872981532155187,41.66123012549998,36.53528949039879,43.22571336929397,40.999796412858394,2.1872981532155187,41.66123012549998
V2F Qstep=6 pred=left,4200,3.2768352259786795,7.328132285669239,5.903692644338811,0.8117804187227581,6.163541801008765,1.091683349609375,2.4413800048828125,1.3887816430954705,0.24834437168802417,1.2979550170898437,2.601042735284876,5.498429008043986,4.477441639573106,0.6850115497590903,4.599972759521217,3.0,245.0,59.975,57.71818596791249,42.5,36.53528949039879,43.22571336929397,40.999796412858394,2.1872981532155187,41.66123012549998,36.53528949039879,43.22571336929397,40.999796412858394,2.1872981532155187,41.66123012549998
V2F Qstep=6 pred=two left,4200,2.810125903811417,7.480215426003952,5.820884687980674,0.9493514180250467,6.065100154973289,1.0694879150390626,2.8468475341796875,1.4230173198881602,0.3049022464543942,1.3190219116210937,2.3660954631262783,5.665883982476173,4.417973522074656,0.803273570366463,4.477415766493611,3.0,245.0,59.975,57.71818596791249,42.5,36.53528949039879,43.22571336929397,40.999796412858394,2.1872981532155187,41.66123012549998,36.53528949039879,43.22571336929397,40.999796412858394,2.1872981532155187,41.66123012549998
V2F Qstep=7 pred=FGIJ,4200,2.925047009365274,7.264516479454097,5.17147772932599,0.7423908639886776,5.3506637767097605,1.1012432861328123,2.734998779296875,1.5862082489013674,0.2787496674966514,1.4951416015625,2.282202604232592,5.276333204461979,3.92344398200404,0.6300976094370705,3.9779322769872625,3.0,245.0,59.975,57.71818596791249,42.5,36.31305569651512,42.275204729304654,40.28401415801489,1.8658218233096076,40.87401656496378,36.31305569651512,42.275204729304654,40.28401415801489,1.8658218233096076,40.87401656496378
V2F Qstep=7 pred=JPEG-LS,4200,4.032642151005023,8.112070752863195,6.257974389139666,0.6870000447201926,6.450623853600343,0.9861846923828124,1.98381103515625,1.2971769125802175,0.17306146576691284,1.2401901245117188,2.96415651106222,5.9733708751761165,4.744227315470589,0.5892850751417561,4.8420740221604195,3.0,245.0,59.975,57.71818596791249,42.5,36.31305569651512,42.275204729304654,40.28401415801489,1.8658218233096076,40.87401656496378,36.31305569651512,42.275204729304654,40.28401415801489,1.8658218233096076,40.87401656496378
V2F Qstep=7 pred=left,4200,3.611256522865157,8.796040600620753,6.506227743349995,0.8910632701726218,6.771914678510896,0.9095001220703124,2.21529541015625,1.2592229410807292,0.21956527423218955,1.1813497924804688,2.926158234149923,6.38870339410925,4.933810788510834,0.7488427913960977,5.04261313615725,3.0,245.0,59.975,57.71818596791249,42.5,36.31305569651512,42.275204729304654,40.28401415801489,1.8658218233096076,40.87401656496378,36.31305569651512,42.275204729304654,40.28401415801489,1.8658218233096076,40.87401656496378
V2F Qstep=7 pred=two left,4200,3.003620009253401,8.98287475019395,6.366368085049717,1.0476519146148286,6.6202510435488335,0.89058349609375,2.663452758789062,1.3013342488606772,0.2784185958389456,1.2084133911132813,2.5578853566751305,6.524403991651917,4.831458145658972,0.8820587343906587,4.898577325488455,3.0,245.0,59.975,57.71818596791249,42.5,36.31305569651512,42.275204729304654,40.28401415801489,1.8658218233096076,40.87401656496378,36.31305569651512,42.275204729304654,40.28401415801489,1.8658218233096076,40.87401656496378
V2F Qstep=8 pred=FGIJ,4200,3.114572063567952,7.5205856178668995,5.545930375022515,0.8148978496604091,5.783605473220758,1.0637469482421875,2.568571166992188,1.4812963463192894,0.26905748544000346,1.38322021484375,2.4030314962462818,5.558675764771515,4.206441498940592,0.6813882453326381,4.27505946862313,4.0,245.0,60.475,57.224561879123904,43.0,35.92321484181888,40.9641397625425,39.26316652896601,1.492780515587948,39.68272586810938,35.92321484181888,40.9641397625425,39.26316652896601,1.492780515587948,39.68272586810938
V2F Qstep=8 pred=JPEG-LS,4200,4.437027132242176,8.518758270355148,6.745464298696976,0.7102696609077958,6.928224702665261,0.93910400390625,1.803009033203125,1.2017735098702569,0.15136138332829563,1.1546969604492188,3.260637550427391,6.386184134182181,5.112459550940702,0.604240689672557,5.2163244403506654,4.0,245.0,60.475,57.224561879123904,43.0,35.92321484181888,40.9641397625425,39.26316652896601,1.492780515587948,39.68272586810938,35.92321484181888,40.9641397625425,39.26316652896601,1.492780515587948,39.68272586810938
V2F Qstep=8 pred=left,4200,3.866060038491885,9.18318732379367,7.035308873551251,0.929294110439318,7.305585874791545,0.8711572265625,2.0692901611328125,1.162380845569429,0.1938867795128921,1.095052490234375,3.227112952771105,6.669894181720955,5.333118227398417,0.7727371864606246,5.470733503482304,4.0,245.0,60.475,57.224561879123904,43.0,35.92321484181888,40.9641397625425,39.26316652896601,1.492780515587948,39.68272586810938,35.92321484181888,40.9641397625425,39.26316652896601,1.492780515587948,39.68272586810938
V2F Qstep=8 pred=two left,4200,3.242463928231988,9.465131124764223,6.901380673698027,1.1011558099335612,7.1777502449114525,0.84520751953125,2.467259521484375,1.1975698445638019,0.24622904238618756,1.1145553588867188,2.717401769421282,6.874674423194775,5.235850727285935,0.9227702288643399,5.321085364206192,4.0,245.0,60.475,57.224561879123904,43.0,35.92321484181888,40.9641397625425,39.26316652896601,1.492780515587948,39.68272586810938,35.92321484181888,40.9641397625425,39.26316652896601,1.492780515587948,39.68272586810938
