group_label,group_size,compression_ratio_dr_min,compression_ratio_dr_max,compression_ratio_dr_avg,compression_ratio_dr_std,compression_ratio_dr_median,bpppc_min,bpppc_max,bpppc_avg,bpppc_std,bpppc_median,compression_efficiency_1byte_entropy_min,compression_efficiency_1byte_entropy_max,compression_efficiency_1byte_entropy_avg,compression_efficiency_1byte_entropy_std,compression_efficiency_1byte_entropy_median,block_coding_time_seconds_min,block_coding_time_seconds_max,block_coding_time_seconds_avg,block_coding_time_seconds_std,block_coding_time_seconds_median
"('newsat2022', 'CCSDS 123.0-B-2 Hybrid')",248,2.1090768894591534,2.7421184387966915,2.5145022587719654,0.18878961337337752,2.586068659041495,2.917452392578125,3.793128662109375,3.2013216030982234,0.2648071589094168,3.0934986877441406,1.4850801204099486,2.136782788298829,1.8390825700408016,0.13850316856274236,1.8714878833626016,3.356220352,8.680647432,5.172835121673388,0.7990420600398409,4.9296055295
"('newsat2022', 'JPEG-LS')",248,2.0947706647083595,2.6737426849050383,2.4647625321433395,0.17958128736238715,2.5338531883739996,2.992060546875,3.819033813476562,3.2647113295524353,0.2615664916539327,3.157246856689453,1.4468298304041771,2.108209013518913,1.8028721031706865,0.13385672186400188,1.8279419529849021,4.47,5.57,5.012379032258064,0.17302613093901065,5.01
"('newsat2022', 'Kakadu JPEG 2000 lossless')",248,2.0635574498018223,2.6323117105959324,2.425673126567575,0.17066301440586437,2.4974595246784452,3.039153747558594,3.876800231933594,3.3160136327435894,0.2565215608162229,3.2032553100585934,1.4339530585203073,2.073611570883504,1.7742978966787832,0.1276789575511061,1.8017305542442856,1.77,2.59,2.101975806451613,0.17578662828428543,2.06
"('newsat2022', 'V2F 1 trees, (W1+W2) / 2')",248,1.4655443558283374,2.413786308679646,2.039195236330696,0.259482885176944,2.144716756753673,3.3142950439453127,5.458722534179688,3.999094700967112,0.6026638185924398,3.730096740722656,1.1112151615354304,1.787493208035771,1.490250682596698,0.18267366055578288,1.544325462168811,1.4407,4.6655,2.1417516129032252,0.4322908214725034,2.0403000000000002
"('newsat2022', 'V2F 1 trees, (W1+W2) / 2 noshadow')",248,1.5148445450190435,2.530639148952109,2.1261696457022343,0.27724854914163144,2.239606158042184,3.1612567138671874,5.281069946289063,3.8394368866951236,0.5947267030460761,3.572057189941406,1.148859607332331,1.873812607669279,1.5537356192640488,0.19508251746387048,1.6112203124722253,1.4106,4.3735,1.961940322580645,0.4358299096074036,1.86335
"('newsat2022', 'V2F 1 trees, FGIJ')",248,1.5620221914120718,2.4956587966488954,2.152630369288486,0.2651992096455018,2.2444352086687536,3.20556640625,5.121566162109375,3.7836881083826865,0.5508333127571444,3.5643716430664063,1.1968052729502974,1.849121780092216,1.5732369829552337,0.18669135506234266,1.625767667374237,1.4855,4.3189,2.1802475806451613,0.44784750386127065,2.0562
"('newsat2022', 'V2F 1 trees, FGIJ noshadow')",248,1.6167229783068615,2.618659507335112,2.247863681728345,0.2838909374139245,2.3451226562500294,3.0549981689453123,4.94828125,3.626953998688729,0.5432035112536465,3.41133544921875,1.2395621765816156,1.940067810392912,1.6427599723297222,0.19975069269953352,1.7007439202385362,1.385,4.1198,2.022927016129032,0.38883449165262174,1.936
"('newsat2022', 'V2F 1 trees, JPEGLS')",248,1.6479562925459372,2.377609489541,2.1405896869214187,0.23487230384902677,2.2154449740429154,3.36472412109375,4.854497680664062,3.7900667842741935,0.4840064529174688,3.6110128784179683,1.1752641274527298,1.837539650300731,1.5651687195445927,0.16934618819696876,1.6158157941619748,1.736,4.7219,2.5018028225806455,0.44307080976028695,2.4130000000000003
"('newsat2022', 'V2F 1 trees, JPEGLS noshadow')",248,1.7150406653528734,2.499859817736356,2.24365252269917,0.2522183397248263,2.3233212106460677,3.200179443359375,4.664612426757812,3.6187111023933656,0.4753235146611961,3.443346557617188,1.2253962768561355,1.9267027713813312,1.6404716680632663,0.1816006107482808,1.6958518350598766,1.7077,4.135,2.223674193548387,0.37736347084594934,2.1159999999999997
"('newsat2022', 'V2F 1 trees, W')",248,1.5604797827671943,2.367089167666709,2.081982187640149,0.23769262813812095,2.1748405629794174,3.3796783447265626,5.12662841796875,3.901968686503749,0.5244522594220441,3.6784307861328127,1.1595336686048896,1.798054879914396,1.5219614003299202,0.1689817648168781,1.5718257805506346,1.3806,3.1776,1.9000701612903226,0.34147484266761535,1.8020999999999998
"('newsat2022', 'V2F 1 trees, W noshadow')",248,1.6196066913065876,2.48625816552722,2.1778605230727495,0.25467355306877876,2.276906325871143,3.217686767578125,4.939470825195312,3.733252450266192,0.5159568683967222,3.5135394287109376,1.2076427939602528,1.8819263642590487,1.5919834136566369,0.18085651196224395,1.6449747537646742,1.3253,3.6827,1.8958314516129033,0.360338509173008,1.8138999999999998
