group_label,group_size,compression_ratio_dr_min,compression_ratio_dr_max,compression_ratio_dr_avg,compression_ratio_dr_std,compression_ratio_dr_median,bpppc_min,bpppc_max,bpppc_avg,bpppc_std,bpppc_median,compression_efficiency_1byte_entropy_min,compression_efficiency_1byte_entropy_max,compression_efficiency_1byte_entropy_avg,compression_efficiency_1byte_entropy_std,compression_efficiency_1byte_entropy_median,block_coding_time_seconds_min,block_coding_time_seconds_max,block_coding_time_seconds_avg,block_coding_time_seconds_std,block_coding_time_seconds_median
CCSDS 123.0-B-2 Hybrid,420,2.1090768894591534,2.9142815850764023,2.5635847545309183,0.16475408849253473,2.6329360572228087,2.745101928710937,3.793128662109375,3.135190681820824,0.22752599149776878,3.038433074951172,1.4850801204099486,2.2748146817202044,1.9434261591022908,0.16833606450129118,1.9600587038813067,3.356220352,8.680647432,5.32179114142619,0.7280434371939204,5.223724374
JPEG-LS,420,2.0947706647083595,2.819505769067781,2.503864754676831,0.15213188895030683,2.560211267533714,2.837376708984375,3.819033813476562,3.2083343767438617,0.21932412809482357,3.124742126464844,1.4468298304041771,2.232827882380988,1.8979576990933331,0.15688646525479297,1.930357040719084,4.39,5.57,5.001071428571428,0.15848189296859427,4.99
Kakadu JPEG 2000 lossless,420,2.0635574498018223,2.817633209171195,2.476048957495196,0.1514985839111805,2.5377698601088388,2.8392623901367187,3.876800231933594,3.244557149251302,0.22323776011479293,3.1523741149902342,1.4339530585203073,2.22018122625126,1.8773444688427898,0.16171854565657162,1.8964827491693248,1.59,2.59,2.060238095238095,0.15720694743218433,2.01
"V2F 1 trees, (W1+W2) / 2",420,1.4655443558283374,2.60412931081926,2.156505857461689,0.2690190818907845,2.2108153564119926,3.0720440673828127,5.458722534179688,3.781196075439453,0.5796011055857403,3.6185745239257816,1.1112151615354304,1.95055443455722,1.6366748235194764,0.24030185607762322,1.6363802223596113,1.4407,4.6655,2.3077752380952385,0.4404120366323825,2.2643000000000004
"V2F 1 trees, (W1+W2) / 2 noshadow",420,1.5148445450190435,2.7390618913636966,2.252628210985854,0.2888353647908802,2.3091199830286366,2.9207080078125,5.281069946289063,3.6240552440824962,0.573376004060535,3.4645233154296875,1.148859607332331,2.0438515195920344,1.7097014978083085,0.2567174486365466,1.707634399161388,1.4106,4.3735,2.1376676190476194,0.46122535967744877,2.09415
"V2F 1 trees, FGIJ",420,1.5620221914120718,2.665990839724468,2.2518561151070533,0.25797677502306493,2.3477421775644123,3.000760498046875,5.121566162109375,3.6105365004766554,0.509899991136409,3.407529296875,1.1968052729502974,1.9946958600715243,1.7082254603020763,0.2295013829120047,1.719765878495783,1.4855,4.3189,2.3546659523809526,0.4638684262342998,2.3354999999999997
"V2F 1 trees, FGIJ noshadow",420,1.6167229783068615,2.805047767691573,2.355125430019266,0.27738222780901967,2.457809625698485,2.8520013427734376,4.94828125,3.45568361554827,0.504129324694055,3.2549307250976565,1.2395621765816156,2.0921452396480538,1.7866217133188116,0.24548549113848603,1.7987604861324975,1.385,4.1198,2.174361428571429,0.4012194365496983,2.12765
"V2F 1 trees, JPEGLS",420,1.6479562925459372,2.482293545908,2.188182148895271,0.195663950148084,2.259983863766865,3.222825927734375,4.854497680664062,3.6915740618024557,0.39983152620682466,3.5398483276367188,1.1752641274527298,1.9633335726159888,1.6587555232214737,0.17535750713871773,1.7073840784206054,1.736,4.7219,2.670008095238095,0.44633066344093825,2.6604
"V2F 1 trees, JPEGLS noshadow",420,1.7150406653528734,2.61391975287099,2.2943198081566303,0.21021469755336267,2.3709224377305755,3.0605377197265624,4.664612426757812,3.522670200892857,0.3927564684354536,3.3742141723632812,1.2253962768561355,2.0579427268062287,1.7391888226803462,0.1868385341441802,1.7924382479103,1.7077,4.135,2.3818416666666664,0.40604710532674937,2.34475
"V2F 1 trees, W",420,1.5604797827671943,2.4848026880275174,2.1517016171812497,0.2157500066096967,2.243920184138624,3.219571533203125,5.12662841796875,3.7640941539946056,0.46260865651667227,3.565189208984375,1.1595336686048896,1.8853180368898657,1.631623225633015,0.19347363347036667,1.6584765294848076,1.2376,3.4471,2.019232619047619,0.35888418872160593,1.99565
"V2F 1 trees, W noshadow",420,1.6196066913065876,2.614912655030513,2.2526652102506226,0.23169984528874588,2.3507906807094514,3.0593756103515624,4.939470825195312,3.5979415384928384,0.45583747614658365,3.4031103515625,1.2076427939602528,1.971110821201165,1.7081873654817352,0.20638538052199082,1.7379767440294587,1.1844,3.6827,2.0142678571428574,0.3707770927344225,1.96135
