group_label,group_size,compression_ratio_dr_min,compression_ratio_dr_max,compression_ratio_dr_avg,compression_ratio_dr_std,compression_ratio_dr_median,bpppc_min,bpppc_max,bpppc_avg,bpppc_std,bpppc_median,compression_efficiency_1byte_entropy_min,compression_efficiency_1byte_entropy_max,compression_efficiency_1byte_entropy_avg,compression_efficiency_1byte_entropy_std,compression_efficiency_1byte_entropy_median,block_coding_time_seconds_min,block_coding_time_seconds_max,block_coding_time_seconds_avg,block_coding_time_seconds_std,block_coding_time_seconds_median
"(1, 'Four neighbor prediction')",840,1.5620221914120718,2.805047767691573,2.3034907725631597,0.2726357638534436,2.390312794923503,2.8520013427734376,5.121566162109375,3.533110058012463,0.5126088027271178,3.346842346191406,1.1968052729502974,2.0921452396480538,1.747423586810444,0.24070319331375303,1.7662026238668183,1.385,4.3189,2.264513690476191,0.4427058026396019,2.20545
"(1, 'JPEG-LS prediction')",840,1.6479562925459372,2.61391975287099,2.2412509785259505,0.20978037826323007,2.2947986198940384,3.0605377197265624,4.854497680664062,3.6071221313476562,0.4049874997572544,3.486144714355469,1.1752641274527298,2.0579427268062287,1.69897217295091,0.18549831260706398,1.7489784304268148,1.7077,4.7219,2.5259248809523807,0.4501226466555165,2.47405
"(1, 'Left neighbor prediction')",840,1.5604797827671943,2.614912655030513,2.202183413715936,0.22936468234727345,2.272766090320342,3.0593756103515624,5.12662841796875,3.681017846243722,0.4664287924282132,3.5199398803710937,1.1595336686048896,1.971110821201165,1.669905295557375,0.2035511184255784,1.6963933213607567,1.1844,3.6827,2.0167502380952382,0.36467004430810634,1.9713500000000002
"(1, 'Two left neighbor prediction')",840,1.4655443558283374,2.7390618913636966,2.2045670342237718,0.2830518505655513,2.2787788816154495,2.9207080078125,5.458722534179688,3.7026256597609746,0.5814922915492821,3.510652160644532,1.1112151615354304,2.0438515195920344,1.673188160663892,0.25116834965486673,1.670440554705825,1.4106,4.6655,2.2227214285714285,0.45863515261186205,2.1864999999999997
"(2, 'Four neighbor prediction')",840,1.5883423966554069,2.831496859737084,2.331579989959866,0.27278445330028256,2.418934874420426,2.825360717773437,5.0366973876953125,3.4890244467599056,0.4991212175827571,3.307240905761719,1.2168188284089263,2.1153431750519305,1.7686958405574043,0.24129175622441146,1.7878548148463405,1.5919,5.0636,2.631912738095238,0.513126076687321,2.5680500000000004
"(2, 'JPEG-LS prediction')",840,1.6681674047328294,2.632432511682283,2.2612011347455896,0.20948970524425461,2.3144699943146625,3.0390142822265624,4.795681762695312,3.5744439203171505,0.3962583812616497,3.4565148925781246,1.1891328610128225,2.075417543222097,1.7140932381001264,0.1857655461650196,1.7632152810771724,1.8923,5.4932,2.843245238095238,0.5002395574881959,2.79895
"(2, 'Left neighbor prediction')",840,1.58145993056499,2.6334993200865404,2.222462209516662,0.22890537654193197,2.2921142922639772,3.037783203125,5.058616943359375,3.6462341126941498,0.45562729854752987,3.490227355957031,1.174119525611271,1.989183766620732,1.6852640561418681,0.20361457187640267,1.711566711934899,1.3825,4.682,2.373632857142857,0.45191791592410424,2.3312
"(2, 'Two left neighbor prediction')",840,1.4865557617191931,2.7607124201728817,2.227839681249881,0.28352523032874166,2.3032764816521407,2.897802734375,5.3815673828125,3.66253370593843,0.5691775268666777,3.4733129882812497,1.1271043105270884,2.0634448134215737,1.6908161706024758,0.25193491175784755,1.6875533200093258,1.5512,4.8234,2.5645758333333335,0.5261390227182894,2.5233499999999998
"(3, 'Four neighbor prediction')",840,1.6083320316272252,2.848437696944936,2.3510060794144088,0.2721201119553346,2.438279687726536,2.80855712890625,4.974097290039063,3.458829827444894,0.4883622248302497,3.281001892089844,1.2320647773699005,2.1309689347916807,1.7834042007348252,0.24116577934410463,1.8025849494468296,1.7968,5.235,2.715969880952381,0.5115985889535803,2.6732
"(3, 'JPEG-LS prediction')",840,1.6814618167618158,2.643633301566652,2.273692394936732,0.20906004791998353,2.326232283631497,3.0261383056640625,4.757764892578125,3.5541928398495624,0.3903405364266801,3.439037475585938,1.1982417700070882,2.086307308602252,1.7235600965127729,0.18576974998513765,1.7720427119531852,1.9194,5.524,2.9567211904761903,0.515122748164716,2.9251
"(3, 'Left neighbor prediction')",840,1.596439386714519,2.645059855497623,2.2359194023276214,0.2281761601566858,2.3049077804572873,3.0245062255859376,5.011151733398438,3.6233301355271115,0.4475939556683178,3.4708547973632813,1.1843608196707154,2.0010172364586967,1.6954547228528145,0.2033718716644491,1.7209882372053058,1.4374,4.5639,2.493012261904762,0.4533171761028078,2.4406
"(3, 'Two left neighbor prediction')",840,1.5055670210616503,2.774248961921384,2.2452376588170395,0.282404335802,2.3215919998269747,2.883663330078125,5.313612670898437,3.6323224487304686,0.55657796700336,3.4459112548828124,1.1414299667079666,2.0769470260279794,1.7039768785563227,0.25141662164599027,1.7003656465941601,1.5841,4.9883,2.6986866666666662,0.5204704797114746,2.6707
"(4, 'Four neighbor prediction')",840,1.6310407441623396,2.8631274695927047,2.3704028183050867,0.27035752175047467,2.455918750332501,2.794147338867188,4.90484375,3.4287201501755487,0.4754704310244399,3.2574368286132813,1.2491824450152926,2.1457789954178814,1.7980799835576329,0.2402459563374666,1.816758090908634,1.7904,5.7273,2.81601880952381,0.5193678782398172,2.7708500000000003
"(4, 'JPEG-LS prediction')",840,1.700327632710966,2.654393767747836,2.288147368502316,0.20731412289266107,2.3392493454519245,3.013870849609375,4.7049755859375,3.530581121535528,0.3807317295709912,3.4199005126953126,1.2106079183570346,2.0987127332029267,1.7345173240295069,0.1850056263459897,1.7814228135609125,1.9694,5.2935,3.02786,0.5309768318997569,2.98545
"(4, 'Left neighbor prediction')",840,1.6137153989707935,2.655750167564803,2.250162056585895,0.22686533296661168,2.317900320936995,3.01233154296875,4.957503662109375,3.599176980881464,0.43796958046286844,3.4513995361328123,1.1958781349257133,2.0137808468533818,1.7062402128422456,0.2027675378211972,1.7308040492426457,1.5677,4.9672,2.548709285714286,0.46054749458083677,2.5026
"(4, 'Two left neighbor prediction')",840,1.5238725933132464,2.785296781413108,2.2608568059739063,0.2808597466318195,2.3367331533372084,2.872225341796875,5.24978271484375,3.6053594701857796,0.5442882572376271,3.4235830688476563,1.1552686227245257,2.088553354342078,1.7157835556059755,0.2505406372796533,1.7118447403939379,1.616,5.5969,2.7686438095238093,0.5143192364957492,2.7166
"(8, 'Four neighbor prediction')",840,1.7062860848875765,2.8906694354800826,2.4178860372763253,0.2583236426825094,2.5005286888341036,2.7675250244140623,4.688545532226563,3.35422347223191,0.4296364620371107,3.199323425292969,1.2932247452063184,2.175968312344675,1.833959293609561,0.23254049511708547,1.8489061824478825,1.9012,5.6371,3.1019132142857146,0.5535802337194353,3.0550499999999996
"(8, 'JPEG-LS prediction')",840,1.758446269332116,2.6764490574783526,2.324968914677615,0.19898125564662283,2.3725553957741488,2.9890350341796874,4.549470825195312,3.4706160191127235,0.3489779722524881,3.3718917846679686,1.2479478143149845,2.1289871808128304,1.7624001791297197,0.18038505197849386,1.8041770305874114,2.0981,6.1823,3.2596198809523815,0.5618700644227131,3.2278000000000002
"(8, 'Left neighbor prediction')",840,1.670778219972117,2.677509731282793,2.287333652194622,0.2187578658960299,2.349038875511999,2.9878509521484373,4.788187866210937,3.535858341761998,0.40323271865958915,3.405648193359375,1.23169703656338,2.04754598659096,1.7343527099553142,0.19787597055506093,1.755256034360119,1.7564,5.0506,2.8098996428571428,0.5126516124705399,2.7885
"(8, 'Two left neighbor prediction')",840,1.5912112384149704,2.8079291779386297,2.3045062247118704,0.26983564475926086,2.38196271817523,2.84907470703125,5.027616577148438,3.5289964323497953,0.4962637090094194,3.3585748291015625,1.2052959012001898,2.1153793628685547,1.748718253783847,0.24324087551815654,1.7438665391666515,1.7479,5.2882,2.9890132142857144,0.5005563143323867,2.94715
