group_label,group_size,compression_ratio_dr_min,compression_ratio_dr_max,compression_ratio_dr_avg,compression_ratio_dr_std,compression_ratio_dr_median,bpppc_min,bpppc_max,bpppc_avg,bpppc_std,bpppc_median,compression_efficiency_1byte_entropy_min,compression_efficiency_1byte_entropy_max,compression_efficiency_1byte_entropy_avg,compression_efficiency_1byte_entropy_std,compression_efficiency_1byte_entropy_median,block_coding_time_seconds_min,block_coding_time_seconds_max,block_coding_time_seconds_avg,block_coding_time_seconds_std,block_coding_time_seconds_median
"('fields2020', 'CCSDS 123.0-B-2 Hybrid')",160,2.279473796885932,2.6830020179011456,2.6327884180531984,0.06427421855315256,2.6433543432080766,2.981734619140625,3.509581909179688,3.0406055450439453,0.08259180292375767,3.0264576721191405,1.920516547317901,2.16197160377519,2.098433524355497,0.0425330942099119,2.105246716449276,2.941740639,4.412069943,3.5095167653624997,0.2637500432642394,3.4754070290000003
"('fields2020', 'JPEG-LS')",160,2.27506696912486,2.6064202427093632,2.5574143897505417,0.05326356695247806,2.5645353960104034,3.0693438720703123,3.5163800048828127,3.1296232318878174,0.07077490196028378,3.119473419189453,1.8973663252503643,2.0965209660034,2.0384113370932835,0.03465434525059543,2.043266693822049,3.85,4.44,4.1665624999999995,0.1116375924320529,4.17
"('fields2020', 'Kakadu JPEG 2000 lossless')",160,2.2406814494339744,2.5923068776172737,2.546703543608892,0.05521572669270463,2.5567877858868084,3.086054382324219,3.5703424072265624,3.142929384231567,0.07494002584341511,3.128926086425781,1.8741326288232667,2.092181231133857,2.029916450899986,0.03912091275613454,2.0360695958087613,1.61,1.98,1.7097499999999997,0.06641730092103429,1.7
"('fields2020', 'V2F 1 trees, (W1+W2) / 2')",160,1.5088459593889838,2.4322512296997707,2.336004339185834,0.1534338002953982,2.377869404120391,3.2891339111328124,5.3020654296875,3.445266883850097,0.31752671770855506,3.3643563842773436,1.264097533491699,1.95055443455722,1.8613050367988322,0.11430425409171416,1.8891578238472369,1.0694,2.3973,1.6984931250000002,0.2254752733300366,1.6773500000000001
"('fields2020', 'V2F 1 trees, (W1+W2) / 2 noshadow')",160,1.5541366533274048,2.551418364131113,2.446229568222973,0.16601638209487518,2.4916336542862227,3.1355108642578124,5.147552490234375,3.2916244010925295,0.31742527154028827,3.2107449340820313,1.3020416683064089,2.0438515195920344,1.9490904180244808,0.12391295603764733,1.978997601509889,1.0694,2.3973,1.6984931250000002,0.2254752733300366,1.6773500000000001
"('fields2020', 'V2F 1 trees, FGIJ')",160,1.6103558540954102,2.48765869091972,2.40284936713607,0.142831811600621,2.4356374658567135,3.215875244140625,4.967846069335938,3.3453423385620114,0.2713455749752536,3.2845611572265625,1.35803296279041,1.9947118488961848,1.9145684766955664,0.10391916747973863,1.9393966368148812,1.0615,2.146,1.41267625,0.17967667554325667,1.38865
"('fields2020', 'V2F 1 trees, FGIJ noshadow')",160,1.6614998321666123,2.6111926356207698,2.5184907128189113,0.15491353876462158,2.554295038766547,3.063734130859375,4.8149267578125,3.1930123100280765,0.27126663582687427,3.1319796752929685,1.401438401314512,2.092160783609664,2.006667663697016,0.11302150604593461,2.033753135218465,1.0615,2.146,1.41267625,0.17967667554325667,1.38865
"('fields2020', 'V2F 1 trees, JPEGLS')",160,1.8692732364573883,2.309100451119501,2.255454348113534,0.06424896224955741,2.264800701187034,3.464552612304688,4.279738159179687,3.5502351188659667,0.1159725836425378,3.532319641113281,1.579476718858882,1.8507454039059756,1.7975701803769575,0.04086805439739474,1.8043588973745028,1.3362,2.6767,1.7489656249999999,0.23385741934886858,1.70105
"('fields2020', 'V2F 1 trees, JPEGLS noshadow')",160,1.9446021608240227,2.4247989863618007,2.365978923548467,0.07024130693499478,2.3762040941996885,3.2992425537109376,4.113952026367188,3.384678768157959,0.11592909052743608,3.366714172363282,1.643682685899008,1.94153183283458,1.8856257758893733,0.04456499765255924,1.8928329076482728,1.3362,2.6767,1.7489656249999999,0.23385741934886858,1.70105
"('fields2020', 'V2F 1 trees, W')",160,1.6420599463629495,2.3188627325682813,2.256394446383712,0.10756136853458124,2.2793013662731276,3.449967041015625,4.871929321289063,3.555729751586914,0.2169684111901403,3.509847412109375,1.3831721896821825,1.867291372728622,1.7980585462893288,0.07621770593086653,1.8136927297683467,0.9724,2.4364,1.598860625,0.27084170017385806,1.5773000000000001
"('fields2020', 'V2F 1 trees, W noshadow')",160,1.6988913629535864,2.433557215200449,2.3651124506175285,0.1169376854057732,2.390036215598827,3.2873687744140625,4.708953247070313,3.3931295738220215,0.2169141353644721,3.347229614257812,1.431329292218108,1.9579147087880604,1.8846547114642882,0.0830400371315174,1.9014782040655789,0.9724,2.4364,1.598860625,0.27084170017385806,1.5773000000000001
