group_label,group_size,compression_ratio_dr_min,compression_ratio_dr_max,compression_ratio_dr_avg,compression_ratio_dr_std,compression_ratio_dr_median,bpppc_min,bpppc_max,bpppc_avg,bpppc_std,bpppc_median,compression_efficiency_1byte_entropy_min,compression_efficiency_1byte_entropy_max,compression_efficiency_1byte_entropy_avg,compression_efficiency_1byte_entropy_std,compression_efficiency_1byte_entropy_median,block_coding_time_seconds_min,block_coding_time_seconds_max,block_coding_time_seconds_avg,block_coding_time_seconds_std,block_coding_time_seconds_median
CCSDS 123.0-B-2 Hybrid,172,2.279473796885932,2.9142815850764023,2.634354864694991,0.08060234688614787,2.6431840211940902,2.745101928710937,3.509581909179688,3.039839120909225,0.10035307450674093,3.0266526794433593,1.7367622034309609,2.2748146817202044,2.0938750549583918,0.05628169662370663,2.104596471071627,2.941740639,4.412069943,3.5055057455058143,0.2670464141518968,3.4784331435
JPEG-LS,172,2.27506696912486,2.819505769067781,2.5602447034460507,0.06864806644676272,2.564872004611107,2.837376708984375,3.5163800048828127,3.127046677345453,0.08823894932920419,3.1190640258789064,1.7231973053078848,2.232827882380988,2.0350578606562184,0.04909241917009213,2.0426017637153455,3.85,4.489999999999999,4.16639534883721,0.11593416957112604,4.17
Kakadu JPEG 2000 lossless,172,2.221061277276299,2.817633209171195,2.5486838765071145,0.07197813965414021,2.5567877858868084,2.8392623901367187,3.601881713867188,3.141526870727539,0.0947564383393209,3.128926086425781,1.6737729241148769,2.22018122625126,2.025923247311823,0.054131233797435695,2.0351138450497404,1.49,2.04,1.7077906976744184,0.07624830417503647,1.7
"V2F 1 trees, (W1+W2) / 2",172,1.5088459593889838,2.60412931081926,2.325651404208702,0.17702601265108836,2.3772766017542013,3.0720440673828127,5.3020654296875,3.467016661887945,0.36107044640767927,3.3651953125,1.1971306427515906,1.95055443455722,1.8477980034546446,0.13177060522401018,1.8853411412708956,1.0478,2.3973,1.681232558139535,0.23434677930122327,1.6733500000000001
"V2F 1 trees, (W1+W2) / 2 noshadow",172,1.5541366533274048,2.7390618913636966,2.434963816743632,0.19171481962031134,2.4910736686573802,2.9207080078125,5.147552490234375,3.3135049686875457,0.3610747958073075,3.2114666748046874,1.2344877395595224,2.0438515195920344,1.9345825319884038,0.142709870447858,1.9762717226447772,1.0478,2.3973,1.681232558139535,0.23434677930122327,1.6733500000000001
"V2F 1 trees, FGIJ",172,1.6103558540954102,2.6660087344167382,2.3949382578624943,0.1631440140484429,2.435127202503687,3.0007403564453123,4.967846069335938,3.3608588391681047,0.30434419784194483,3.285249328613281,1.3364753025571872,1.9947118488961848,1.9028698844938599,0.1190963457491103,1.9378231346993884,1.0615,2.146,1.4057232558139534,0.17711273686911255,1.3789
"V2F 1 trees, FGIJ noshadow",172,1.6614998321666123,2.8050699790826767,2.50979647902553,0.17711749616829595,2.5537376081126237,2.851978759765625,4.8149267578125,3.208717321351517,0.30436665730866186,3.1326632690429688,1.38232995777447,2.092160783609664,1.9940618264618117,0.12936411674643647,2.0323832567071447,1.0615,2.146,1.4057232558139534,0.17711273686911255,1.3789
"V2F 1 trees, JPEGLS",172,1.8692732364573883,2.4823095296353728,2.256820235027392,0.0781284300562635,2.265082694567628,3.22280517578125,4.279738159179687,3.549535728277162,0.13778205439864388,3.5318798828125,1.4452798529675652,1.9633471990298927,1.7937076477942078,0.05390613748126606,1.8028114942775184,1.2232,2.6767,1.7456558139534883,0.23322288569187355,1.6976499999999999
"V2F 1 trees, JPEGLS noshadow",172,1.9446021608240227,2.613937997945895,2.367392607565671,0.08544552879290057,2.376559545094924,3.060516357421875,4.113952026367188,3.384167629508085,0.1377122962094753,3.3662106323242185,1.504220303067685,2.0579576981265992,1.8815391856217,0.05821678828478496,1.891830699566198,1.2232,2.6767,1.7456558139534883,0.23322288569187355,1.6976499999999999
"V2F 1 trees, W",172,1.6420599463629495,2.484794680076429,2.2522259277783956,0.12342686128519204,2.2791051829659636,3.219581909179688,4.871929321289063,3.5653003497456393,0.24446625664562768,3.5101495361328126,1.3101664607211525,1.8853189792591056,1.7897391830518332,0.08880017036280599,1.8114414486294268,0.9531,2.4364,1.5935587209302324,0.27364002174836927,1.5773000000000001
"V2F 1 trees, W noshadow",172,1.6988913629535864,2.6149037864952764,2.360521682122726,0.13431984596383023,2.3898429488083206,3.059385986328125,4.708953247070313,3.4028440431106928,0.244484742304603,3.347500305175781,1.3577316474631458,1.971111164563414,1.875736102244024,0.09644960443778004,1.899331176015132,0.9531,2.4364,1.5935587209302324,0.27364002174836927,1.5773000000000001
